sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
58,0.99779,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.03859,1.0,0.0,0.0,9826,122,0.02243,1.0,0.01134,0.02147,0.96739,0.01085,0.02195,0.97849,0.0111,0.84816,0.91274,0.79212,0.68537,1.0,0.99934,0.84262,216.02726,4426.22,
59,0.99869,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545,0.02344,1.0,0.0,0.0,5484,119,0.0396,1.0,0.0202,0.03917,1.0,0.01998,0.0396,1.0,0.0202,0.86501,0.9642,0.78433,0.66515,1.0,0.99966,0.83254,123.43933,4426.21,
60,0.99588,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06452,0.06426,1.0,0.0,0.0,7875,123,0.03359,1.0,0.01708,0.03268,0.98165,0.01662,0.03359,1.0,0.01708,0.87954,0.95434,0.81561,0.72875,1.0,0.99945,0.86432,203.61828,4426.22,
61,0.97812,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06897,0.06013,1.0,0.0,0.0,7346,120,0.03472,1.0,0.01766,0.0334,0.97115,0.01699,0.03439,0.99048,0.0175,0.82955,0.89585,0.77238,0.73747,1.0,0.93664,0.8624,163.58643,4426.21,
62,0.99131,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571,0.24517,0.75,0.25,0.0,3457,125,0.06286,1.0,0.03245,0.06223,1.0,0.03211,0.06286,1.0,0.03245,0.87505,0.96423,0.80096,0.61031,0.875,0.99129,0.75428,139.7527,4426.21,
63,0.98299,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636,0.18468,0.8,0.0,0.2,5454,119,0.0463,1.0,0.0237,0.04463,0.97248,0.02284,0.04503,0.97273,0.02305,0.87145,0.95522,0.80119,0.58816,0.6,0.99995,0.63408,129.22552,4426.21,
64,0.8581,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.07317,0.26244,0.6,0.2,0.2,10400,120,0.02299,0.96226,0.01163,0.01645,0.69524,0.00833,0.02073,0.86792,0.01049,0.78897,0.84588,0.73923,0.61629,0.8,0.95471,0.72361,212.75651,4426.22,
65,0.99798,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.50078,0.33333,0.33333,0.33333,6386,115,0.03702,1.0,0.01886,0.03627,0.98947,0.01847,0.03548,0.95833,0.01807,0.85742,0.93915,0.78877,0.63592,0.66667,0.98846,0.68347,165.93363,4426.22,
66,0.50149,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.12903,0.23528,0.5,0.5,0.0,7696,117,0.03198,1.0,0.01625,0.03106,0.98058,0.01578,0.03167,0.99038,0.01609,0.84125,0.90504,0.78586,0.57085,0.5,0.83166,0.56859,174.29603,4426.21,
67,0.60106,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03175,0.01105,1.0,0.0,0.0,15906,122,0.01415,0.9798,0.00713,0.01284,0.89796,0.00647,0.01357,0.93939,0.00683,0.85656,0.92001,0.8013,0.70934,1.0,0.88601,0.84327,259.33827,5460.12,
68,0.9986,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.04273,1.0,0.0,0.0,6461,122,0.03655,1.0,0.01862,0.03512,0.97,0.01788,0.03547,0.9703,0.01806,0.87893,0.95561,0.81365,0.7764,1.0,0.9993,0.88813,143.3893,4426.21,
69,0.8055,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.15,0.10985,1.0,0.0,0.0,4983,120,0.04693,0.9901,0.02403,0.04413,0.94,0.0226,0.04083,0.86139,0.02091,0.84499,0.90765,0.79042,0.56702,0.55556,0.96144,0.60188,166.23686,4426.21,
70,0.99889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564,0.01381,1.0,0.0,0.0,9824,116,0.02525,1.0,0.01279,0.02452,0.98039,0.01242,0.02525,1.0,0.01279,0.86233,0.94764,0.7911,0.67066,1.0,0.9396,0.82929,199.52233,4426.22,
71,0.99473,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.30065,0.6,0.0,0.4,9871,118,0.02355,1.0,0.01191,0.02331,1.0,0.01179,0.02355,1.0,0.01191,0.86953,0.96964,0.78815,0.6767,0.8,0.9996,0.75831,194.49254,4426.22,
72,0.99912,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.03696,1.0,0.0,0.0,4475,120,0.05102,1.0,0.02618,0.04802,0.95,0.02463,0.0394,0.77228,0.02022,0.84336,0.9239,0.77575,0.67436,1.0,0.79804,0.81699,102.4285,4426.21,
73,0.99747,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.1081,1.0,0.0,0.0,2617,119,0.08969,1.0,0.04695,0.08804,0.99029,0.04607,0.08969,1.0,0.04695,0.85456,0.93156,0.78932,0.77258,1.0,0.93975,0.88026,85.24856,4170.98,
74,0.99827,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.15586,1.0,0.0,0.0,2087,118,0.10651,1.0,0.05625,0.10124,0.95918,0.05344,0.10651,1.0,0.05625,0.83505,0.89997,0.77886,0.58047,0.83333,0.9999,0.72356,86.12948,4426.2,
75,0.98365,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391,0.22349,0.71429,0.14286,0.14286,5815,126,0.04381,1.0,0.02239,0.04301,0.99057,0.02198,0.04381,1.0,0.02239,0.85972,0.96734,0.77365,0.52297,0.57143,0.90908,0.58096,154.59276,4426.21,
76,0.99654,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14815,0.10643,0.85714,0.14286,0.0,6862,121,0.03418,1.0,0.01739,0.03318,0.98,0.01687,0.03418,1.0,0.01739,0.8704,0.93601,0.81339,0.65034,0.85714,0.99963,0.76799,201.58339,4426.22,
77,0.8428,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08333,0.04617,1.0,0.0,0.0,6119,138,0.04501,1.0,0.02302,0.04376,0.98113,0.02238,0.04501,1.0,0.02302,0.8888,0.95614,0.83032,0.70942,0.85714,0.99936,0.7975,172.98021,4426.22,
78,0.99918,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05267,1.0,0.0,0.0,6153,117,0.03503,1.0,0.01783,0.03466,1.0,0.01763,0.03503,1.0,0.01783,0.86174,0.94381,0.79281,0.69698,1.0,0.99988,0.84848,159.74213,4426.22,
79,0.99413,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.34638,0.57143,0.0,0.42857,6591,127,0.03416,1.0,0.01738,0.03123,0.92391,0.01588,0.03379,0.98925,0.01719,0.8283,0.90773,0.76165,0.60542,0.57143,0.99956,0.63124,175.58293,4426.22,
80,0.99775,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774,0.02532,1.0,0.0,0.0,13321,119,0.01744,1.0,0.0088,0.01657,0.95918,0.00836,0.01551,0.88889,0.00782,0.84415,0.92459,0.77659,0.70472,1.0,0.99996,0.85236,233.87881,4426.23,
81,0.70267,6.0,3.0,0.0,3.0,1.0,0.0,0.0,0.04651,0.34368,0.66667,0.0,0.33333,22016,116,0.01015,0.94845,0.0051,0.00871,0.82292,0.00438,0.0096,0.89691,0.00482,0.82252,0.90001,0.75731,0.41405,0.33333,0.95639,0.43599,589.40072,10163.62,
82,0.99832,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333,0.04833,1.0,0.0,0.0,2877,114,0.08257,0.9802,0.0431,0.07846,0.94,0.04094,0.08257,0.9802,0.0431,0.83809,0.95034,0.74957,0.60879,1.0,0.93977,0.79837,115.74364,4426.2,
83,0.9946,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108,0.05371,1.0,0.0,0.0,9463,117,0.02626,1.0,0.01331,0.02395,0.92079,0.01213,0.02369,0.90196,0.012,0.85213,0.93618,0.78193,0.46998,0.71429,0.98877,0.61958,219.11492,4426.22,
84,0.99696,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.00553,1.0,0.0,0.0,20857,131,0.01099,0.9898,0.00553,0.00941,0.85567,0.00473,0.01042,0.93878,0.00524,0.84201,0.91448,0.78018,0.65345,1.0,0.99973,0.8267,483.68707,9093.76,
