sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
15,0.99186,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405,0.07946,0.875,0.125,0.0,9248,493,0.10434,0.9845,0.05509,0.08848,0.83679,0.04671,0.09284,0.87597,0.04902,0.90384,0.8925,0.91547,0.76363,0.875,0.96166,0.82798,237.74824,4426.23,
16,0.94631,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0566,0.15599,0.85714,0.14286,0.0,13532,485,0.0686,0.9898,0.03553,0.06154,0.89003,0.03187,0.04668,0.67347,0.02418,0.87923,0.86612,0.89275,0.58977,0.85714,0.77608,0.71535,390.89656,4426.24,
17,0.99765,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529,0.21263,0.85714,0.0,0.14286,4103,490,0.21425,0.97847,0.12029,0.18291,0.83693,0.10268,0.14144,0.64593,0.07941,0.87353,0.86524,0.88197,0.64966,0.71429,0.99998,0.71054,142.13277,4426.21,
18,0.72151,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04615,0.14315,1.0,0.0,0.0,16518,497,0.04711,0.87927,0.02421,0.03545,0.66316,0.01821,0.04444,0.8294,0.02283,0.82705,0.81243,0.84221,0.64087,0.83333,0.95889,0.74966,320.30282,5688.97,
19,0.83798,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13333,0.17729,0.83333,0.0,0.16667,3627,445,0.21059,0.93298,0.11869,0.14351,0.6371,0.08086,0.16762,0.74263,0.09447,0.88613,0.895,0.87743,0.63418,0.66667,0.98673,0.68243,119.0872,4426.21,
20,0.86462,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.07895,0.18663,0.85714,0.0,0.14286,9543,491,0.09993,0.97285,0.05267,0.07462,0.72789,0.03932,0.07367,0.71719,0.03883,0.87022,0.87826,0.86233,0.59357,0.71429,0.88903,0.6714,246.8587,4426.23,
21,0.93637,11.0,2.0,0.0,1.0,0.0,0.0,1.0,0.16667,0.16707,0.84615,0.07692,0.07692,9043,499,0.10879,0.99531,0.05754,0.09855,0.90353,0.05212,0.09031,0.82629,0.04777,0.8285,0.81172,0.84599,0.59184,0.76923,0.9337,0.69698,352.38934,4426.25,
22,0.99848,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128,0.10999,0.8,0.2,0.0,9955,499,0.09304,0.99012,0.04881,0.08981,0.95792,0.04711,0.08144,0.86667,0.04273,0.85044,0.83212,0.86959,0.65377,0.8,0.99999,0.74688,215.88124,4426.22,
23,0.99685,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263,0.10103,0.83333,0.16667,0.0,14485,498,0.06534,1.0,0.03377,0.06453,0.98997,0.03335,0.06501,0.995,0.0336,0.92704,0.92146,0.93269,0.70363,0.83333,0.99879,0.78503,296.38713,4535.43,
24,0.833,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.13889,0.08742,0.91667,0.08333,0.0,9200,502,0.10634,0.985,0.05621,0.10259,0.95238,0.05422,0.09285,0.86,0.04907,0.84845,0.83553,0.86177,0.53653,0.75,0.94293,0.66256,331.71512,4426.24,
