sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
44,0.77113,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.125,0.06948,1.0,0.0,0.0,3991,124,0.06273,1.0,0.03238,0.05854,0.94175,0.03021,0.05609,0.89423,0.02895,0.86893,0.94202,0.80637,0.60633,0.875,0.99468,0.75263,111.86891,4426.21,
45,0.99924,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03226,0.01571,1.0,0.0,0.0,15841,120,0.01666,1.0,0.0084,0.01618,0.98058,0.00816,0.01506,0.90385,0.00759,0.84838,0.95604,0.76251,0.70765,1.0,0.99996,0.85382,241.48178,5023.73,
46,0.99927,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381,0.01233,1.0,0.0,0.0,10519,120,0.02318,0.9901,0.01173,0.02295,0.99,0.01161,0.02318,0.9901,0.01173,0.85822,0.96343,0.77372,0.56659,0.75,0.99998,0.68329,239.89601,4426.23,
47,0.99268,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.09039,0.83333,0.16667,0.0,8030,124,0.03211,1.0,0.01632,0.03182,1.0,0.01617,0.03211,1.0,0.01632,0.85945,0.97394,0.76905,0.535,0.66667,0.99991,0.63416,169.98952,4426.22,
48,0.99204,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.08351,1.0,0.0,0.0,2681,127,0.09159,1.0,0.04799,0.08991,0.99029,0.04709,0.09159,1.0,0.04799,0.82921,0.91597,0.75747,0.68305,1.0,0.99496,0.84102,76.03985,4426.2,
49,0.99752,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564,0.07695,0.85714,0.14286,0.0,19942,120,0.01177,1.0,0.00592,0.01165,1.0,0.00586,0.01177,1.0,0.00592,0.85478,0.96394,0.76783,0.49805,0.57143,0.99972,0.57757,418.5203,7652.31,
50,0.9768,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04372,1.0,0.0,0.0,6262,123,0.04007,1.0,0.02044,0.03932,0.99038,0.02006,0.04007,1.0,0.02044,0.86278,0.93841,0.79843,0.83078,1.0,0.81102,0.89649,96.41632,4426.21,
51,0.92906,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.07506,1.0,0.0,0.0,21024,121,0.01108,1.0,0.00557,0.01029,0.9375,0.00517,0.01086,0.97938,0.00546,0.85696,0.94162,0.78627,0.6768,0.75,0.9776,0.73616,295.86509,8898.04,
52,0.99873,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647,0.07879,0.875,0.125,0.0,4162,128,0.061,1.0,0.03146,0.0581,0.96117,0.02995,0.0522,0.85577,0.02692,0.88886,0.95591,0.8306,0.66337,1.0,0.92087,0.82377,137.13918,4426.21,
53,0.9802,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714,0.15649,0.83333,0.0,0.16667,7092,121,0.03543,1.0,0.01803,0.03379,0.96226,0.01719,0.03013,0.85047,0.01534,0.85307,0.92465,0.79177,0.70401,0.83333,0.99935,0.78527,154.12549,4426.22,
54,0.99895,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04412,0.06264,0.875,0.125,0.0,17292,116,0.01326,1.0,0.00667,0.013,0.9901,0.00654,0.01183,0.89216,0.00595,0.8636,0.94132,0.79774,0.59379,0.625,0.99999,0.64689,376.06149,6505.93,
55,0.99878,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448,0.02631,1.0,0.0,0.0,14607,121,0.01733,0.99048,0.00874,0.017,0.98077,0.00857,0.01733,0.99048,0.00874,0.85683,0.95768,0.77519,0.61325,0.85714,0.99998,0.74948,342.71901,4774.46,
56,0.99779,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.05883,1.0,0.0,0.0,3849,122,0.05955,1.0,0.03069,0.05898,1.0,0.03039,0.05955,1.0,0.03069,0.88121,0.96789,0.80878,0.75011,1.0,0.92458,0.86751,85.11781,4426.21,
57,0.99785,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636,0.1054,1.0,0.0,0.0,5537,119,0.04319,1.0,0.02207,0.04109,0.9604,0.021,0.03642,0.84314,0.01861,0.79051,0.83793,0.74818,0.70896,1.0,0.99966,0.85445,128.55091,4426.21,
58,0.99779,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.03859,1.0,0.0,0.0,9826,122,0.02243,1.0,0.01134,0.02147,0.96739,0.01085,0.02195,0.97849,0.0111,0.84816,0.91272,0.79213,0.68537,1.0,0.99935,0.84262,200.80734,4426.22,
59,0.99869,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545,0.02344,1.0,0.0,0.0,5484,119,0.0396,1.0,0.0202,0.03917,1.0,0.01998,0.0396,1.0,0.0202,0.86503,0.9642,0.78435,0.66515,1.0,0.99966,0.83254,102.05651,4426.21,
60,0.99588,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06452,0.06426,1.0,0.0,0.0,7875,123,0.03359,1.0,0.01708,0.03268,0.98165,0.01662,0.03359,1.0,0.01708,0.87955,0.95436,0.81562,0.72875,1.0,0.99945,0.86432,177.07267,4426.22,
61,0.97813,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06897,0.06013,1.0,0.0,0.0,7346,120,0.03472,1.0,0.01766,0.0334,0.97115,0.01699,0.03439,0.99048,0.0175,0.82955,0.89585,0.77238,0.73747,1.0,0.93663,0.8624,144.98989,4426.21,
62,0.99131,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571,0.24517,0.75,0.25,0.0,3457,125,0.06286,1.0,0.03245,0.06223,1.0,0.03211,0.06286,1.0,0.03245,0.87504,0.96424,0.80096,0.61031,0.875,0.99132,0.75429,115.01463,4426.21,
63,0.98299,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636,0.18468,0.8,0.0,0.2,5454,119,0.0463,1.0,0.0237,0.04463,0.97248,0.02284,0.04503,0.97273,0.02305,0.87142,0.95516,0.80118,0.58816,0.6,0.99995,0.63408,109.9174,4426.21,
64,0.85868,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.07317,0.26244,0.6,0.2,0.2,10400,120,0.02299,0.96226,0.01163,0.01645,0.69524,0.00833,0.02073,0.86792,0.01049,0.78898,0.84588,0.73925,0.61629,0.8,0.95489,0.72363,189.21785,4426.22,
65,0.99798,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.50078,0.33333,0.33333,0.33333,6386,115,0.03702,1.0,0.01886,0.03627,0.98947,0.01847,0.03548,0.95833,0.01807,0.8574,0.93913,0.78876,0.63592,0.66667,0.98846,0.68347,147.95474,4426.22,
66,0.50149,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.12903,0.23528,0.5,0.5,0.0,7696,117,0.03198,1.0,0.01625,0.03106,0.98058,0.01578,0.03167,0.99038,0.01609,0.84126,0.90505,0.78586,0.57085,0.5,0.83165,0.56859,150.90052,4426.21,
67,0.60106,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03175,0.01105,1.0,0.0,0.0,15906,122,0.01415,0.9798,0.00713,0.01284,0.89796,0.00647,0.01357,0.93939,0.00683,0.85651,0.91996,0.80124,0.70934,1.0,0.88609,0.84328,234.60955,5460.12,
68,0.9986,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.04273,1.0,0.0,0.0,6461,122,0.03655,1.0,0.01862,0.03512,0.97,0.01788,0.03547,0.9703,0.01806,0.87893,0.95563,0.81363,0.7764,1.0,0.99926,0.88813,124.87291,4426.21,
69,0.80544,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.15,0.10985,1.0,0.0,0.0,4983,120,0.04693,0.9901,0.02403,0.04413,0.94,0.0226,0.04083,0.86139,0.02091,0.845,0.90767,0.79043,0.56702,0.55556,0.9614,0.60187,147.36557,4426.21,
70,0.99888,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564,0.01381,1.0,0.0,0.0,9824,116,0.02525,1.0,0.01279,0.02452,0.98039,0.01242,0.02525,1.0,0.01279,0.8623,0.94761,0.79109,0.67066,1.0,0.93961,0.82929,180.36517,4426.22,
71,0.99462,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.30065,0.6,0.0,0.4,9871,118,0.02355,1.0,0.01191,0.02331,1.0,0.01179,0.02355,1.0,0.01191,0.86951,0.96965,0.78812,0.6767,0.8,0.99964,0.75831,174.6126,4426.22,
72,0.99912,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.03696,1.0,0.0,0.0,4475,120,0.05102,1.0,0.02618,0.04802,0.95,0.02463,0.0394,0.77228,0.02022,0.84338,0.92395,0.77574,0.67436,1.0,0.79801,0.81698,85.56936,4426.21,
73,0.99747,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.1081,1.0,0.0,0.0,2617,119,0.08969,1.0,0.04695,0.08804,0.99029,0.04607,0.08969,1.0,0.04695,0.85459,0.93158,0.78935,0.77258,1.0,0.93977,0.88027,68.50715,4170.98,
74,0.99827,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.15586,1.0,0.0,0.0,2087,118,0.10651,1.0,0.05625,0.10124,0.95918,0.05344,0.10651,1.0,0.05625,0.83505,0.89998,0.77886,0.58047,0.83333,0.9999,0.72356,68.77766,4426.2,
75,0.98376,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391,0.22349,0.71429,0.14286,0.14286,5815,126,0.04381,1.0,0.02239,0.04301,0.99057,0.02198,0.04381,1.0,0.02239,0.8597,0.9673,0.77364,0.52297,0.57143,0.90896,0.58095,133.4479,4426.21,
76,0.99654,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14815,0.10643,0.85714,0.14286,0.0,6862,121,0.03418,1.0,0.01739,0.03318,0.98,0.01687,0.03418,1.0,0.01739,0.87037,0.93596,0.81337,0.65034,0.85714,0.99963,0.76799,167.46767,4426.22,
77,0.84211,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08333,0.04617,1.0,0.0,0.0,6119,138,0.04501,1.0,0.02302,0.04376,0.98113,0.02238,0.04501,1.0,0.02302,0.8888,0.95614,0.83033,0.70942,0.85714,0.99931,0.7975,149.85595,4426.22,
78,0.99918,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05267,1.0,0.0,0.0,6153,117,0.03503,1.0,0.01783,0.03466,1.0,0.01763,0.03503,1.0,0.01783,0.86174,0.9438,0.7928,0.69698,1.0,0.99989,0.84848,140.99728,4426.22,
79,0.99413,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.34638,0.57143,0.0,0.42857,6591,127,0.03416,1.0,0.01738,0.03123,0.92391,0.01588,0.03379,0.98925,0.01719,0.8283,0.90774,0.76165,0.60542,0.57143,0.99956,0.63124,153.6461,4426.22,
80,0.99775,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774,0.02532,1.0,0.0,0.0,13321,119,0.01744,1.0,0.0088,0.01657,0.95918,0.00836,0.01551,0.88889,0.00782,0.84416,0.92458,0.7766,0.70472,1.0,0.99996,0.85236,213.18285,4426.23,
81,0.70275,6.0,3.0,0.0,3.0,1.0,0.0,0.0,0.04651,0.34368,0.66667,0.0,0.33333,22016,116,0.01015,0.94845,0.0051,0.00871,0.82292,0.00438,0.0096,0.89691,0.00482,0.8225,0.89998,0.7573,0.41405,0.33333,0.95633,0.43599,561.96077,10172.16,
82,0.99831,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333,0.04833,1.0,0.0,0.0,2877,114,0.08257,0.9802,0.0431,0.07846,0.94,0.04094,0.08257,0.9802,0.0431,0.83808,0.9503,0.74956,0.60879,1.0,0.93979,0.79838,91.07015,4426.2,
83,0.9946,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108,0.05371,1.0,0.0,0.0,9463,117,0.02626,1.0,0.01331,0.02395,0.92079,0.01213,0.02369,0.90196,0.012,0.85211,0.93618,0.7819,0.46998,0.71429,0.98871,0.61957,198.61244,4426.22,
84,0.99696,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.00553,1.0,0.0,0.0,20857,131,0.01099,0.9898,0.00553,0.00941,0.85567,0.00473,0.01042,0.93878,0.00524,0.84201,0.91447,0.78019,0.65345,1.0,0.99976,0.8267,456.92728,9103.55,
