sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
81,0.7351,7.0,3.0,0.0,3.0,2.0,0.0,0.0,0.03488,0.30009,0.7,0.0,0.3,22016,485,0.03898,0.93005,0.01991,0.02736,0.65455,0.01397,0.03366,0.80311,0.01719,0.91463,0.91744,0.91183,0.49357,0.6,0.9936,0.67551,790.96708,10993.75,
82,0.99702,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.34508,0.5,0.25,0.25,2877,338,0.2104,0.97133,0.11798,0.20124,0.93165,0.1128,0.20963,0.96774,0.11754,0.92385,0.94154,0.90681,0.55142,0.5,0.98554,0.66623,128.97562,4426.21,
83,0.98951,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13514,0.07373,1.0,0.0,0.0,9463,491,0.09804,0.95884,0.05166,0.08643,0.84709,0.04554,0.07848,0.76755,0.04136,0.88641,0.88478,0.88804,0.58282,0.91667,0.99272,0.80594,390.7026,4426.24,
84,0.99368,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03659,0.09763,1.0,0.0,0.0,20857,506,0.04455,0.9901,0.02279,0.04054,0.90323,0.02074,0.03887,0.86386,0.01988,0.88566,0.88312,0.88821,0.72386,1.0,0.99963,0.88943,386.1918,9923.88,
85,0.99466,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488,0.12788,1.0,0.0,0.0,21976,496,0.04417,1.0,0.02258,0.04344,0.98578,0.02221,0.04208,0.95272,0.02151,0.94234,0.9409,0.94379,0.69355,1.0,0.82161,0.8239,378.68496,10832.59,
86,0.97266,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204,0.2693,0.75,0.0,0.25,12441,487,0.08313,0.98611,0.04339,0.07319,0.87007,0.0382,0.07513,0.8912,0.03922,0.91343,0.91226,0.9146,0.62576,0.75,0.99991,0.77528,387.26978,4426.24,
87,0.31824,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.18182,0.24133,0.57143,0.42857,0.0,5531,498,0.16946,0.94614,0.09307,0.14142,0.79108,0.07765,0.12416,0.69321,0.06819,0.83041,0.82796,0.83287,0.60122,0.71429,0.92419,0.73203,160.24241,4426.21,
88,0.99845,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.31038,0.83333,0.16667,0.0,10018,504,0.0942,1.0,0.04943,0.09308,0.99027,0.04884,0.07385,0.78398,0.03875,0.87371,0.86699,0.88053,0.56284,0.66667,0.88363,0.69023,207.40111,4426.22,
89,0.97905,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07143,0.36496,0.44444,0.55556,0.0,10607,491,0.089,0.9515,0.04669,0.06461,0.69213,0.03388,0.07237,0.77367,0.03796,0.86661,0.87152,0.86176,0.30721,0.33333,0.9268,0.50092,281.84038,4426.24,
90,0.88918,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.41176,0.44084,0.66667,0.0,0.33333,4271,497,0.2129,0.9976,0.11916,0.20686,0.97115,0.11576,0.174,0.81535,0.09739,0.78768,0.78988,0.78549,0.53333,0.58333,0.90956,0.6612,167.3634,4426.22,
