sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
91,0.99927,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06061,0.18543,0.83333,0.16667,0.0,16820,515,0.05938,0.99761,0.0306,0.05697,0.95933,0.02936,0.05639,0.94749,0.02906,0.86793,0.85042,0.88617,0.50567,0.5,1.0,0.55283,307.11965,5874.7,
92,0.99839,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878,0.07602,0.83333,0.16667,0.0,20892,496,0.04754,1.0,0.02435,0.04708,0.99268,0.02411,0.04372,0.91971,0.02239,0.86924,0.85922,0.87949,0.61914,0.83333,0.99825,0.74273,530.32065,9042.07,
93,0.78939,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.13333,0.30983,0.28571,0.71429,0.0,7449,485,0.11993,0.9635,0.06394,0.10148,0.81707,0.0541,0.09419,0.75669,0.05022,0.81653,0.81116,0.82197,0.58965,0.85714,0.99971,0.73765,182.13632,4426.22,
94,0.92517,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.22727,0.23412,0.5,0.5,0.0,5411,489,0.16911,0.9768,0.09257,0.1523,0.8814,0.08335,0.1438,0.83063,0.07872,0.84584,0.83476,0.85721,0.4754,0.5,0.98796,0.5365,194.14037,4426.22,
95,0.99368,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14706,0.22003,0.625,0.375,0.0,8661,499,0.10837,0.99527,0.0573,0.10453,0.96209,0.05527,0.08752,0.80378,0.04628,0.84459,0.83501,0.8544,0.50468,0.5,0.98812,0.55115,231.65817,4426.23,
96,0.62964,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.13514,0.37536,0.57143,0.0,0.42857,9425,498,0.10442,1.0,0.05509,0.10028,0.96235,0.0529,0.07942,0.76056,0.0419,0.84688,0.84198,0.85184,0.69688,0.85714,0.95216,0.78651,226.82779,4426.23,
97,0.99528,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06897,0.1192,1.0,0.0,0.0,14625,492,0.06279,0.97537,0.03244,0.05582,0.86914,0.02884,0.04709,0.73153,0.02433,0.82496,0.80915,0.84139,0.74672,1.0,0.99721,0.87308,230.4207,4649.67,
98,0.96049,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09677,0.17134,1.0,0.0,0.0,7681,486,0.11998,1.0,0.06382,0.11829,0.98801,0.06291,0.11682,0.97368,0.06214,0.87847,0.86347,0.894,0.56922,0.66667,0.96086,0.64736,178.05826,4426.22,
99,0.3416,5.0,5.0,0.0,0.0,2.0,0.0,3.0,0.125,0.29144,0.6,0.2,0.2,7977,486,0.09876,0.86375,0.05238,0.06178,0.54146,0.03276,0.0779,0.68127,0.04131,0.82644,0.84817,0.8058,0.55845,0.8,0.79771,0.679,241.17312,4426.23,
100,0.642,9.0,2.0,0.0,0.0,0.0,1.0,1.0,0.07576,0.12544,0.90909,0.0,0.09091,16641,491,0.05746,0.98558,0.02959,0.05046,0.86747,0.02599,0.04863,0.83413,0.02505,0.89894,0.89819,0.8997,0.57483,0.81818,0.91517,0.7062,502.24639,6143.99,
101,0.99486,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878,0.72063,0.0,0.5,0.5,10244,480,0.10059,0.98246,0.05301,0.0942,0.92211,0.04963,0.08596,0.8396,0.0453,0.85572,0.84311,0.86871,0.42571,0.0,0.99992,0.31285,138.82966,4426.22,
102,0.98409,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14286,0.19928,0.83333,0.16667,0.0,8918,492,0.10652,1.0,0.05626,0.1046,0.98394,0.05523,0.08678,0.81465,0.04583,0.82831,0.81632,0.84065,0.67365,0.83333,0.99418,0.76957,196.55846,4426.22,
103,0.99522,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18519,0.24089,0.77778,0.11111,0.11111,6660,483,0.13094,0.96602,0.07023,0.11157,0.82482,0.05983,0.11318,0.83495,0.0607,0.88325,0.87762,0.88896,0.56057,0.66667,0.99857,0.64681,199.95919,4426.22,
104,0.93509,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11765,0.10319,0.90909,0.09091,0.0,12891,489,0.07101,0.99748,0.03681,0.06887,0.9697,0.0357,0.06491,0.91184,0.03365,0.87134,0.85658,0.88662,0.57944,0.81818,0.99912,0.7169,378.57209,4426.26,
105,0.88586,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.03846,0.02674,1.0,0.0,0.0,13161,495,0.07254,0.99294,0.03764,0.07083,0.9717,0.03676,0.05896,0.80706,0.0306,0.84854,0.83464,0.8629,0.60425,0.75,0.99191,0.70132,331.35898,4426.24,
106,0.99847,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.16113,0.75,0.25,0.0,12798,483,0.0675,0.91707,0.03504,0.04884,0.66504,0.02535,0.05278,0.71707,0.0274,0.86633,0.85547,0.87748,0.64495,1.0,0.99992,0.82247,188.32522,4426.22,
107,0.63219,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16,0.28588,0.5,0.5,0.0,6228,504,0.15761,0.98565,0.08565,0.1504,0.94245,0.08172,0.13734,0.85885,0.07464,0.87523,0.85862,0.89251,0.54969,0.5,0.99119,0.57397,148.44582,4426.22,
108,0.78386,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03846,0.01961,1.0,0.0,0.0,6644,536,0.14934,0.9976,0.08071,0.14545,0.97356,0.07859,0.12314,0.82254,0.06655,0.89977,0.89347,0.90617,0.67927,0.88889,0.90037,0.78523,183.34369,4426.22,
109,0.9984,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14286,0.12433,0.71429,0.28571,0.0,5362,488,0.16268,0.99756,0.08856,0.15995,0.98284,0.08706,0.13437,0.82396,0.07315,0.84417,0.84917,0.83923,0.63758,1.0,0.94392,0.81318,162.53359,4426.22,
110,0.97018,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2069,0.30022,0.375,0.625,0.0,7186,491,0.12219,0.99495,0.06509,0.11944,0.97468,0.06362,0.11878,0.96717,0.06327,0.88593,0.88523,0.88664,0.65471,0.625,0.98034,0.67539,197.87847,4426.22,
111,0.22917,2.0,4.0,0.0,3.0,2.0,1.0,0.0,0.19231,0.48128,0.33333,0.16667,0.5,6582,514,0.13675,0.94787,0.07369,0.11252,0.78147,0.06062,0.10325,0.71564,0.05564,0.82783,0.8219,0.83384,0.57654,0.66667,0.88683,0.64362,174.40704,4426.22,
112,0.99202,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.36712,0.55556,0.11111,0.33333,3060,369,0.21494,0.99662,0.12046,0.20853,0.96949,0.11683,0.20401,0.94595,0.11433,0.83607,0.84805,0.82443,0.66805,0.77778,0.9993,0.74506,136.28729,4426.21,
113,0.96725,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566,0.09082,0.9,0.0,0.1,13382,494,0.07215,0.99022,0.03744,0.06575,0.90441,0.03411,0.06377,0.87531,0.03309,0.89556,0.89384,0.89728,0.60467,0.7,0.84007,0.66634,397.14808,4426.26,
114,0.88905,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08696,0.10664,0.875,0.125,0.0,11587,490,0.08179,0.985,0.04267,0.07807,0.94236,0.04072,0.07141,0.86,0.03725,0.88076,0.86288,0.8994,0.63548,0.875,0.85649,0.75339,289.85816,4426.23,
115,0.99846,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571,0.13848,0.75,0.25,0.0,8806,494,0.10739,1.0,0.05674,0.1035,0.96585,0.05468,0.09537,0.88808,0.05039,0.8427,0.82898,0.85689,0.7529,1.0,0.91032,0.86748,212.69588,4426.23,
116,0.99897,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.11368,0.72727,0.27273,0.0,8085,494,0.10907,0.99751,0.05769,0.10637,0.975,0.05625,0.10389,0.95012,0.05495,0.89218,0.88801,0.8964,0.57893,0.72727,0.99932,0.68031,260.50024,4426.24,
